#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
0.0%,1000,125.0,-133.41763844078312,468.612836422644,335.19519798186093,104.66326729768457,0,--
0.0%,2000,250.0,-134.88689237327836,531.734397613278,396.8475052399997,118.7612781024591,2.1e+04,1:25:48
0.0%,3000,375.0,-120.1035852578031,524.3168386133241,404.213253355521,117.10458861389304,2.06e+04,1:27:33
0.0%,4000,500.0,-129.4505303889559,544.6693354415314,415.2188050525755,121.65025755452092,2.03e+04,1:28:49
0.1%,5000,625.0,-113.99267421548146,537.4742137859247,423.48153957044326,120.0432487776616,2.01e+04,1:29:23
0.1%,6000,750.0,-72.39147958465853,541.5367548164862,469.14527523182767,120.95060509558796,1.97e+04,1:31:12
0.1%,7000,875.0,-108.02383150980867,530.3995508614095,422.37571935160076,118.46314409601833,1.99e+04,1:30:16
0.1%,8000,1000.0,-103.68209347933953,560.8595289325697,457.17743545323015,125.26628856615432,2e+04,1:30:06
0.1%,9000,1125.0,-68.46634761339996,539.5552270996415,471.08887948624147,120.50803684101534,2.01e+04,1:29:39
0.1%,10000,1250.0,-96.2793746913103,577.9702537367831,481.6908790454728,129.08791747737203,2.02e+04,1:29:14
0.1%,11000,1375.0,-74.23771127871731,538.8111487254197,464.57343744670237,120.34184917452691,2.02e+04,1:28:54
0.1%,12000,1500.0,-70.15270333257038,496.0239881455071,425.87128481293666,110.7854655746432,2.03e+04,1:28:39
0.1%,13000,1625.0,-101.09598941337748,530.89402256269,429.7980331493125,118.57358286299139,2.03e+04,1:28:25
0.1%,14000,1750.0,-108.32823865622944,491.4800164430282,383.1517777867988,109.77058316442103,2.04e+04,1:28:16
0.1%,15000,1875.0,-75.33303231613849,532.9229021613572,457.58986984521874,119.02672701792147,2.04e+04,1:28:04
0.2%,16000,2000.0,-74.46403194898264,532.388447324409,457.9244153754263,118.90735813787738,2.04e+04,1:28:07
0.2%,17000,2125.0,-83.9317473639679,559.055689270929,475.123941906961,124.86340640417659,2.04e+04,1:28:03
0.2%,18000,2250.0,-71.609392534694,537.7000012095881,466.0906086748941,120.09367771950568,2.04e+04,1:28:02
0.2%,19000,2375.0,-88.63611073574432,531.4259877265732,442.78987699082893,118.69239568204604,2.02e+04,1:28:43
0.2%,20000,2500.0,-71.27203444954856,546.959136887188,475.6871024376395,122.16167781905084,2.02e+04,1:28:45
0.2%,21000,2625.0,-109.09118396712805,541.1596832952872,432.0684993281592,120.86638730566382,2.02e+04,1:28:46
0.2%,22000,2750.0,-102.39911198045206,560.76449458853,458.365382608078,125.24506293130273,2.02e+04,1:28:47
0.2%,23000,2875.0,-94.98736391836732,490.558274316049,395.5709103976817,109.56471483321604,2.02e+04,1:28:48
0.2%,24000,3000.0,-133.1283838336146,489.29876265945103,356.17037882583645,109.28340669367509,2.02e+04,1:28:59
0.2%,25000,3125.0,-157.20999330596467,546.3578738795429,389.1478805735783,122.02738753505909,2.01e+04,1:29:20
0.3%,26000,3250.0,-77.48878791037757,503.1309391690373,425.64215125865974,112.37278170606992,2.01e+04,1:29:17
0.3%,27000,3375.0,-77.83769200180575,534.3902225262908,456.55253052448506,119.35444860732298,2.01e+04,1:29:15
0.3%,28000,3500.0,-95.2009253135999,497.70968375867807,402.5087584450782,111.16196061880525,2e+04,1:29:46
0.3%,29000,3625.0,-82.51858479928825,571.4987767634921,488.9801919642038,127.64253256338412,2e+04,1:29:48
0.3%,30000,3750.0,-110.5215973739827,530.0790137467087,419.55741637272604,118.3915530957144,2e+04,1:29:52
0.3%,31000,3875.0,-88.07650327518823,548.3412688708879,460.2647655956997,122.47037283977406,1.99e+04,1:29:58
0.3%,32000,4000.0,-134.7072518441457,542.6859297493224,407.9786779051767,121.20726985980016,1.99e+04,1:29:58
0.3%,33000,4125.0,-91.71550361469241,519.0535132552434,427.338009640551,115.9290407287074,2e+04,1:29:50
0.3%,34000,4250.0,-71.22395408329814,556.9997626602242,485.775808576926,124.40422138047285,2e+04,1:29:43
0.3%,35000,4375.0,-109.33887675759354,583.6534122547213,474.31453549712774,130.3572338358373,2e+04,1:29:34
0.4%,36000,4500.0,-109.78663728397478,550.6923888863313,440.90575160235653,122.9954884224026,2e+04,1:29:29
0.4%,37000,4625.0,-125.24485583184025,539.2054643679825,413.9606085361422,120.42991838708255,2.01e+04,1:29:23
0.4%,38000,4750.0,-76.45740711500719,522.476564790653,446.01915767564583,116.69356899165325,2.01e+04,1:29:19
0.4%,39000,4875.0,-99.44280241485419,548.6677544827033,449.22495206784913,122.54329241901382,2.01e+04,1:29:12
0.4%,40000,5000.0,-124.88658580924374,555.0781724119272,430.19158660268346,123.97503997919185,2.01e+04,1:29:06
0.4%,41000,5125.0,-83.015762210941,488.9023618972552,405.8865996863142,109.19487177592204,2.01e+04,1:29:01
0.4%,42000,5250.0,-90.24291246663299,532.5244183006491,442.2815058340161,118.93772684638223,2.02e+04,1:28:57
0.4%,43000,5375.0,-74.06403207634844,532.8870006510717,458.8229685747233,119.01870852360089,2.02e+04,1:28:45
0.4%,44000,5500.0,-56.5194877701156,537.0179727905738,480.49848502045825,119.94134872384937,2.02e+04,1:28:41
0.5%,45000,5625.0,-81.04743434341643,601.8666914988328,520.8192571554164,134.42511496441688,2.02e+04,1:28:41
0.5%,46000,5750.0,-68.01339537530419,511.17896967025735,443.16557429495316,114.17028510781073,2.02e+04,1:28:36
0.5%,47000,5875.0,-103.2446532685639,529.6778088429377,426.4331555743738,118.30194518739272,2.02e+04,1:28:33
0.5%,48000,6000.0,-134.2118178873497,515.010901825239,380.7990839378893,115.02613562711174,2.02e+04,1:28:30
0.5%,49000,6125.0,-112.09700845830531,563.6867531630944,451.5897447047891,125.89774059296782,2.02e+04,1:28:27
0.5%,50000,6250.0,-137.6764858730582,552.3559684376723,414.67948256461415,123.36704391068618,2.03e+04,1:28:23
0.5%,51000,6375.0,-134.93030811517272,559.4982807744143,424.5679726592416,124.96225788504212,2.03e+04,1:28:19
0.5%,52000,6500.0,-118.73606735545357,525.2774443714005,406.541377015947,117.31913702019102,2.03e+04,1:28:16
0.5%,53000,6625.0,-115.37257251423057,548.4825009409035,433.1099284266729,122.50191659774683,2.03e+04,1:28:15
0.5%,54000,6750.0,-109.96243256716912,545.1353452868651,435.172912719696,121.7543394515894,2.03e+04,1:28:11
0.6%,55000,6875.0,-94.93537928863799,527.2106003726551,432.2752210840171,117.7509015976021,2.03e+04,1:28:06
0.6%,56000,7000.0,-119.70352169588892,547.6748326432398,427.9713109473509,122.32152631315378,2.03e+04,1:28:06
0.6%,57000,7125.0,-64.90734109422101,542.346753343943,477.43941224972195,121.13151582999532,2.03e+04,1:28:07
0.6%,58000,7250.0,-82.92005368788193,554.1074082282086,471.1873545403266,123.75822271908605,2.03e+04,1:28:09
0.6%,59000,7375.0,-94.95604847995509,524.1415754177793,429.18552693782425,117.0654441064084,2.03e+04,1:28:06
0.6%,60000,7500.0,-78.59978268289956,517.3591678580669,438.7593851751674,115.55061378130868,2.03e+04,1:28:03
0.6%,61000,7625.0,-86.70176570829932,544.1828205021659,457.4810547938666,121.54159590638542,2.03e+04,1:28:04
0.6%,62000,7750.0,-90.4220519443914,558.8302514923478,468.4081995479564,124.81305555450982,2.03e+04,1:28:16
0.6%,63000,7875.0,-61.09625205939986,539.728595752886,478.6323436934862,120.54675820817654,2.03e+04,1:28:13
0.6%,64000,8000.0,-78.11694389369399,526.1033566928108,447.98641279911686,117.5036020526048,2.03e+04,1:28:13
0.7%,65000,8125.0,-100.16806176022212,549.2370730678696,449.06901130764743,122.67044801234258,2.03e+04,1:28:15
0.7%,66000,8250.0,-130.76752266880823,522.1185664108763,391.35104374206804,116.6136111304885,2.02e+04,1:28:20
0.7%,67000,8375.0,-91.0451980825961,494.44753025529263,403.40233217269656,110.43336844728613,2.02e+04,1:28:21
0.7%,68000,8500.0,-96.28585871977106,515.8614272784725,419.5755685587015,115.21609792847512,2.02e+04,1:28:19
0.7%,69000,8625.0,-96.84890821931228,535.4951102298883,438.64620201057596,119.60122195211298,2.02e+04,1:28:19
0.7%,70000,8750.0,-76.74593458081341,537.5445180045167,460.7985834237033,120.05895101338955,2.02e+04,1:28:18
0.7%,71000,8875.0,-107.85862287341428,535.5256012093067,427.66697833589245,119.60803202064076,2.02e+04,1:28:18
0.7%,72000,9000.0,-106.87712760500739,569.6237058277015,462.74657822269415,127.22374111060847,2.02e+04,1:28:21
0.7%,73000,9125.0,-77.82695419302385,502.38217343088826,424.55521923786443,112.20554713094924,2.02e+04,1:28:22
0.7%,74000,9250.0,-88.22937829441358,553.7443976236934,465.5150193292799,123.67714539260412,2.02e+04,1:28:20
0.8%,75000,9375.0,-98.38954354275114,530.3708125897323,431.98126904698114,118.45672548949192,2.02e+04,1:28:15
0.8%,76000,9500.0,-87.93838618187638,497.92275891944814,409.9843727375718,111.20955031497411,2.02e+04,1:28:18
0.8%,77000,9625.0,-118.12707831155763,529.8454460177118,411.71836770615414,118.33938644607942,2.02e+04,1:28:19
0.8%,78000,9750.0,-116.928264206461,534.332263333398,417.40399912693704,119.3415035959477,2.02e+04,1:28:14
0.8%,79000,9875.0,-116.67603466970442,513.572810333668,396.8967756639636,114.70494221864722,2.03e+04,1:28:10
0.8%,80000,10000.0,-123.78545974916207,507.8244274048259,384.0389676556638,113.42105818421965,2.03e+04,1:28:07
0.8%,81000,10125.0,-106.46191645414882,521.7094730078003,415.24755655365146,116.52224134957783,2.03e+04,1:28:05
0.8%,82000,10250.0,-133.29814512512684,542.6195759493629,409.3214308242361,121.19244993818984,2.03e+04,1:28:02
0.8%,83000,10375.0,-115.67654398826159,511.3286872415006,395.652143253239,114.20372407695595,2.03e+04,1:27:59
0.8%,84000,10500.0,-104.7214550670831,492.7944616118636,388.07300654478047,110.06416053866496,2.03e+04,1:27:57
0.8%,85000,10625.0,-109.70163008787324,535.259602764073,425.5579726761997,119.54862206809487,2.03e+04,1:27:55
0.9%,86000,10750.0,-88.36946538734296,551.7703146051356,463.4008492177926,123.23623988899817,2.03e+04,1:27:52
0.9%,87000,10875.0,-49.74372348453386,575.8247325403988,526.081009055865,128.6087217724821,2.03e+04,1:27:49
0.9%,88000,11000.0,-28.188503686107765,537.5616167153187,509.3731130292109,120.06276995900951,2.03e+04,1:27:46
0.9%,89000,11125.0,-69.46759653661178,558.8404260607308,489.372829524119,124.81532801375025,2.03e+04,1:27:43
0.9%,90000,11250.0,-29.643448449781943,585.2867609737089,555.6433125239269,130.72203735865745,2.03e+04,1:27:40
0.9%,91000,11375.0,-77.84121760320431,559.4821773341649,481.6409597309606,124.95866123010603,2.04e+04,1:27:36
0.9%,92000,11500.0,-73.1030951942873,547.1778454560166,474.07475026172926,122.21052571996269,2.04e+04,1:27:35
0.9%,93000,11625.0,-64.41538457990825,534.8307308958922,470.4153463159839,119.45283482650217,2.04e+04,1:27:32
0.9%,94000,11750.0,-50.90860317555064,571.6578355924081,520.7492324168575,127.67805787432948,2.04e+04,1:27:30
0.9%,95000,11875.0,-47.5825690334718,537.9680449065872,490.3854758731154,120.15354447288068,2.04e+04,1:27:28
1.0%,96000,12000.0,-43.86601739982842,558.3984073354901,514.5323899356617,124.71660446118258,2.04e+04,1:27:26
1.0%,97000,12125.0,-72.72513604433371,532.2319904036048,459.5068543592711,118.87241395528154,2.04e+04,1:27:23
1.0%,98000,12250.0,-90.55885097114634,513.3569849142768,422.7981339431305,114.65673826048888,2.04e+04,1:27:21
1.0%,99000,12375.0,-86.69754677931658,572.5498996953182,485.8523529160017,127.87729770813836,2.04e+04,1:27:19
1.0%,100000,12500.0,-76.10341976789849,564.6607508008182,488.5573310329197,126.11528003529854,2.04e+04,1:27:16
1.0%,101000,12625.0,-66.71402473296027,583.4209624301262,516.7069376971659,130.3053168667875,2.04e+04,1:27:17
1.0%,102000,12750.0,-92.74884658496012,542.2114383022403,449.46259171728013,121.10129362249616,2.04e+04,1:27:15
1.0%,103000,12875.0,-83.59583730034996,553.70556278338,470.10972548303,123.66847174784607,2.04e+04,1:27:13
1.0%,104000,13000.0,-68.85821027620625,556.9320940785826,488.0738838023764,124.38910780632905,2.04e+04,1:27:11
1.1%,105000,13125.0,-94.405797457608,585.9877978573071,491.5820003996991,130.87861183769587,2.04e+04,1:27:09
1.1%,106000,13250.0,-70.04705283003705,559.1451241696195,489.0980713395825,124.88338141975416,2.04e+04,1:27:08
1.1%,107000,13375.0,-114.63044183922096,524.3181520169047,409.68771017768375,117.1048819586317,2.04e+04,1:27:08
1.1%,108000,13500.0,-77.42891314832781,530.8945243884599,453.4656112401321,118.57369494426746,2.04e+04,1:27:07
1.1%,109000,13625.0,-102.101311965415,524.2134021856544,422.11209022023945,117.08148639893848,2.04e+04,1:27:06
1.1%,110000,13750.0,-125.42552567599279,573.295190345329,447.86966466933626,128.0437561327774,2.04e+04,1:27:03
1.1%,111000,13875.0,-130.58184717907582,548.7933440975233,418.21149691844755,122.57134248167549,2.05e+04,1:27:01
1.1%,112000,14000.0,-107.46201380489171,545.1227713738433,437.66075756895157,121.7515311059418,2.05e+04,1:26:59
1.1%,113000,14125.0,-45.471195542070035,535.287721633088,489.816526091018,119.55490233290004,2.05e+04,1:26:57
1.1%,114000,14250.0,-54.4635830007914,487.81990742297245,433.35632442218105,108.9531088254141,2.05e+04,1:26:56
1.1%,115000,14375.0,-47.54508089538487,567.0664977639179,519.521416868533,126.65259638235312,2.05e+04,1:26:54
1.2%,116000,14500.0,-41.65543852435053,530.3392162432243,488.6837777188738,118.44966854054994,2.05e+04,1:26:53
1.2%,117000,14625.0,-98.33258550996263,548.513366542152,450.1807810321893,122.5088103369334,2.05e+04,1:26:51
1.2%,118000,14750.0,-105.20138508621562,581.6276308935678,476.4262458073522,129.90478166293556,2.05e+04,1:26:50
1.2%,119000,14875.0,-127.16682367964759,535.0239692338536,407.857145554206,119.49599402797134,2.05e+04,1:26:48
1.2%,120000,15000.0,-84.42959291631257,529.6787698623534,445.24917694604085,118.30215982818821,2.05e+04,1:26:47
1.2%,121000,15125.0,-50.79199665940672,510.04797081100963,459.2559741516029,113.91767991495584,2.05e+04,1:26:46
1.2%,122000,15250.0,-86.93423149767696,533.2343686938024,446.30013719612543,119.09629213096542,2.05e+04,1:26:44
1.2%,123000,15375.0,-88.46768466476078,530.7307255536057,442.2630408888449,118.53711096725507,2.05e+04,1:26:42
1.2%,124000,15500.0,-52.25398677553241,556.3919418999039,504.1379551243715,124.26846644214865,2.05e+04,1:26:40
1.2%,125000,15625.0,-53.04504606605511,500.61578416887204,447.5707381028169,111.81102940306646,2.05e+04,1:26:39
1.3%,126000,15750.0,-85.98988950464457,513.9565451815822,427.96665567693765,114.79064824254804,2.05e+04,1:26:38
1.3%,127000,15875.0,-119.20485051124791,549.5523610117639,430.34751050051597,122.74086662613783,2.05e+04,1:26:36
1.3%,128000,16000.0,-105.0528843880196,563.852754960006,458.7998705719864,125.93481659492858,2.05e+04,1:26:35
1.3%,129000,16125.0,-121.4803097544299,564.0324718576661,442.55216210323624,125.97495582338273,2.05e+04,1:26:34
1.3%,130000,16250.0,-98.63137043092848,550.0358830724201,451.40451264149164,122.84885982381701,2.05e+04,1:26:32
1.3%,131000,16375.0,-77.38922159505418,549.9389659865534,472.5497443914992,122.82721368424214,2.05e+04,1:26:30
1.3%,132000,16500.0,-83.77422174224154,542.6911702346478,458.9169484924062,121.20844030643275,2.05e+04,1:26:29
1.3%,133000,16625.0,-122.21809119964587,561.8502283715814,439.6321371719355,125.48755830555905,2.05e+04,1:26:28
1.3%,134000,16750.0,-115.60445262556215,577.0733117328124,461.46885910725024,128.88758817903533,2.05e+04,1:26:26
1.4%,135000,16875.0,-67.75411582776096,497.19975308628085,429.4456372585199,111.04806913713814,2.05e+04,1:26:25
1.4%,136000,17000.0,-94.65942913831677,602.4951600080802,507.83573086976344,134.5654815153498,2.05e+04,1:26:24
1.4%,137000,17125.0,-55.50019575360136,532.9366051421838,477.43640938858243,119.02978753746672,2.06e+04,1:26:22
1.4%,138000,17250.0,-49.478292287444475,538.6263192433324,489.148026955888,120.30056806572104,2.06e+04,1:26:22
1.4%,139000,17375.0,-100.52267964798605,551.1712540061982,450.64857435821216,123.10244150636585,2.06e+04,1:26:20
1.4%,140000,17500.0,-102.07033065744088,536.7871581355871,434.71682747814623,119.88979696501256,2.06e+04,1:26:19
1.4%,141000,17625.0,-102.921422135298,515.1347725277515,412.21335039245344,115.05380177588049,2.06e+04,1:26:18
1.4%,142000,17750.0,-72.92973598726698,580.9718933440656,508.0421573567986,129.7583246538946,2.06e+04,1:26:17
1.4%,143000,17875.0,-76.41692695134336,539.9909738332422,463.57404688189877,120.60535956311809,2.06e+04,1:26:18
1.4%,144000,18000.0,-116.99832403350516,541.7274547654229,424.72913073191773,120.99319735550465,2.06e+04,1:26:16
1.4%,145000,18125.0,-44.330488760520694,511.07418887162225,466.7437001111016,114.14688263164527,2.06e+04,1:26:17
1.5%,146000,18250.0,-90.48118588414553,514.919214740222,424.4380288560764,115.00565759249335,2.06e+04,1:26:16
1.5%,147000,18375.0,-120.35358573398821,539.673023334466,419.31943760047784,120.53434627569969,2.06e+04,1:26:15
1.5%,148000,18500.0,-153.44786961197514,545.9359078953399,392.4880382833648,121.93314270187801,2.06e+04,1:26:15
1.5%,149000,18625.0,-90.16476935725248,514.2343517879275,424.06958243067504,114.85269551235598,2.06e+04,1:26:14
