#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
0.0%,1000,125.0,42.01795243980203,448.47203588862385,490.48998832842585,98.78898887752882,0,--
0.0%,2000,250.0,108.63639725726952,503.35791569423577,611.9943129515053,110.87919771051956,9.39e+03,3:11:43
0.0%,3000,375.0,95.63677968878318,535.118572624468,630.7553523132513,117.87540468250327,1.04e+04,2:52:25
0.0%,4000,500.0,81.34422328624882,562.0468673945016,643.3910906807505,123.80714356396238,1.11e+04,2:41:24
0.1%,5000,625.0,116.64827478783572,554.7706001975214,671.4188749853571,122.20433442165294,1.14e+04,2:37:36
0.1%,6000,750.0,121.53909554983926,543.0207424840855,664.5598380339247,119.61608706155795,1.15e+04,2:35:50
0.1%,7000,875.0,87.68902950936717,578.5278407420398,666.2168702514069,127.437556527158,1.17e+04,2:33:13
0.1%,8000,1000.0,102.88248407320933,525.3409341721489,628.2234182453582,115.72159588503673,1.19e+04,2:31:43
0.1%,9000,1125.0,130.97188774056016,567.2249852899447,698.1968730305049,124.94777439541626,1.19e+04,2:30:52
0.1%,10000,1250.0,129.37421309009778,561.8029598859894,691.1771729760871,123.75341585249467,1.18e+04,2:31:58
0.1%,11000,1375.0,102.80759378727166,595.1465012106592,697.9540949979308,131.0982990770047,1.19e+04,2:31:24
0.1%,12000,1500.0,107.38394488141483,503.5332240874764,610.9171689688912,110.91781447483056,1.19e+04,2:30:38
0.1%,13000,1625.0,115.68033972934593,577.0112155066909,692.6915552360368,127.10347577849015,1.21e+04,2:29:10
0.1%,14000,1750.0,143.40629675622102,553.9361132471158,697.3424100033369,122.02051443854361,1.21e+04,2:28:03
0.1%,15000,1875.0,127.85136875817891,567.5929072969527,695.4442760551316,125.02881990137763,1.22e+04,2:26:54
0.2%,16000,2000.0,119.15152594750802,552.6422140895021,671.7937400370101,121.73549557613701,1.23e+04,2:26:06
0.2%,17000,2125.0,127.72584425582912,506.0554870028284,633.7813312586575,111.47341612476887,1.23e+04,2:25:34
0.2%,18000,2250.0,133.73943972439133,576.1820057610337,709.921445485425,126.92081825296897,1.24e+04,2:25:25
0.2%,19000,2375.0,136.78401616650402,559.5476755401437,696.3316917066477,123.25662398515794,1.23e+04,2:25:48
0.2%,20000,2500.0,111.53152075035946,551.4469390721183,662.9784598224778,121.47220154451708,1.23e+04,2:25:33
0.2%,21000,2625.0,130.43109946797264,580.1106532500389,710.5417527180116,127.78621694460881,1.24e+04,2:25:03
0.2%,22000,2750.0,134.9419592381506,583.0412439235354,717.983203161686,128.43176464052027,1.24e+04,2:24:43
0.2%,23000,2875.0,154.8787946152156,508.3906157033196,663.2694103185352,111.98779602977974,1.24e+04,2:24:26
0.2%,24000,3000.0,141.96779685752347,518.2713514902495,660.2391483477729,114.16431500899037,1.25e+04,2:24:12
0.2%,25000,3125.0,139.53215013933504,530.8835359341124,670.4156860734474,116.942514872171,1.25e+04,2:24:04
0.3%,26000,3250.0,113.4312820146882,505.29840691329645,618.7296889279846,111.30664725054916,1.25e+04,2:23:20
0.3%,27000,3375.0,127.45084201978744,550.2040246765682,677.6548666963556,121.19841355647803,1.26e+04,2:22:55
0.3%,28000,3500.0,107.48578864649664,530.7096340934883,638.1954227399849,116.90420794191803,1.26e+04,2:22:27
0.3%,29000,3625.0,102.34369544482553,554.9315934672169,657.2752889120425,122.23979786431285,1.26e+04,2:22:28
0.3%,30000,3750.0,147.47514414553817,537.4185189015059,684.893663047044,118.38203463710235,1.26e+04,2:22:24
0.3%,31000,3875.0,128.03739616680025,541.1305530906438,669.1679492574441,119.1997179593125,1.26e+04,2:21:58
0.3%,32000,4000.0,141.51917906524028,503.51285361632296,645.0320326815632,110.91332728703028,1.26e+04,2:21:51
0.3%,33000,4125.0,119.23144243772784,542.221419267744,661.4528617054718,119.44001291197968,1.27e+04,2:21:49
0.3%,34000,4250.0,122.22366482962346,517.0097091310193,639.2333739606428,113.88640164311809,1.27e+04,2:21:36
0.3%,35000,4375.0,127.76030191001551,539.5526707796183,667.3129726896339,118.85214356091085,1.27e+04,2:21:26
0.4%,36000,4500.0,114.71267534396603,567.207858312933,681.920533656899,124.94400168138705,1.26e+04,2:22:09
0.4%,37000,4625.0,136.93364169820453,559.7851852939662,696.7188269921706,123.30894240537377,1.26e+04,2:22:09
0.4%,38000,4750.0,136.9536480304481,508.29625632275315,645.2499043532013,111.96701063615136,1.26e+04,2:22:07
0.4%,39000,4875.0,133.9209599281703,557.3801910863729,691.3011510145432,122.77917259363134,1.26e+04,2:21:57
0.4%,40000,5000.0,139.6746226367116,497.50033035224584,637.1749529889574,109.58889444322125,1.27e+04,2:21:36
0.4%,41000,5125.0,124.14864819814602,504.16497054972024,628.3136187478663,111.05697497813455,1.27e+04,2:21:39
0.4%,42000,5250.0,138.9781923320461,567.448214877966,706.4264072100121,124.99694719443924,1.27e+04,2:21:31
0.4%,43000,5375.0,126.70664197849979,536.2672042807993,662.9738462592991,118.12842415939632,1.27e+04,2:21:33
0.4%,44000,5500.0,124.60663086485783,521.4889183156321,646.0955491804899,114.87307753572318,1.27e+04,2:21:31
0.5%,45000,5625.0,119.94363025742035,568.5099717768486,688.4536020342689,125.23082998328807,1.27e+04,2:21:30
0.5%,46000,5750.0,156.68570840936508,560.3533543233166,717.0390627326817,123.43409813288717,1.27e+04,2:21:32
0.5%,47000,5875.0,119.30478025003661,575.0104094040367,694.3151896540734,126.66274013389298,1.27e+04,2:21:28
0.5%,48000,6000.0,137.77356532023313,544.5058119745722,682.2793772948054,119.94321674108713,1.27e+04,2:21:30
0.5%,49000,6125.0,156.61260388309918,540.7439899902182,697.3565938733174,119.11456621121579,1.26e+04,2:21:58
0.5%,50000,6250.0,116.18689217303995,545.8210465395481,662.007938712588,120.23293534651431,1.26e+04,2:22:11
0.5%,51000,6375.0,151.53571565741612,562.8592563816806,714.3949720390967,123.98609582897846,1.26e+04,2:22:00
0.5%,52000,6500.0,143.7502222493356,555.8091633042097,699.5593855535453,122.43310810425716,1.26e+04,2:21:59
0.5%,53000,6625.0,125.14254798874664,557.9540239386865,683.0965719274332,122.90557594262155,1.26e+04,2:21:55
0.5%,54000,6750.0,131.8409830842058,571.0844895356117,702.9254726198176,125.79794227989206,1.27e+04,2:21:31
0.6%,55000,6875.0,147.41809463417843,573.036748782789,720.4548434169674,126.22798406984067,1.27e+04,2:21:19
0.6%,56000,7000.0,122.80003044212711,546.9092148475237,669.7092452896508,120.47263601516465,1.26e+04,2:21:39
0.6%,57000,7125.0,114.90811492075585,508.37441869971855,623.2825336204744,111.98422816939929,1.26e+04,2:21:38
